            1.93672E+04   4.16370E+04   6.14045E+04   7.03300E+04   8.07633E+04   1.20038E+05   2.17576E+05   3.97210E+05   6.68029E+05   1.06029E+06   1.68060E+06   2.69933E+06   4.34287E+06   6.95884E+06   1.10967E+07   1.75839E+07   2.76014E+07   4.26771E+07   6.43488E+07   9.29922E+07   1.25450E+08   1.52999E+08   1.64547E+08   1.57115E+08   1.42876E+08   1.41819E+08   1.69662E+08   2.33921E+08   3.33161E+08   4.52729E+08   5.62651E+08
            1.94029E+04   4.17137E+04   6.15175E+04   7.04594E+04   8.09118E+04   1.20259E+05   2.17975E+05   3.97940E+05   6.69256E+05   1.06224E+06   1.68369E+06   2.70429E+06   4.35087E+06   6.97170E+06   1.11172E+07   1.76167E+07   2.76531E+07   4.27576E+07   6.44705E+07   9.31665E+07   1.25678E+08   1.53258E+08   1.64799E+08   1.57338E+08   1.43101E+08   1.42141E+08   1.70254E+08   2.34991E+08   3.34837E+08   4.54919E+08   5.64994E+08
            1.94385E+04   4.17903E+04   6.16304E+04   7.05888E+04   8.10603E+04   1.20479E+05   2.18375E+05   3.98669E+05   6.70483E+05   1.06419E+06   1.68678E+06   2.70926E+06   4.35888E+06   6.98455E+06   1.11378E+07   1.76494E+07   2.77049E+07   4.28381E+07   6.45922E+07   9.33407E+07   1.25905E+08   1.53516E+08   1.65051E+08   1.57561E+08   1.43325E+08   1.42465E+08   1.70849E+08   2.36064E+08   3.36516E+08   4.57109E+08   5.67332E+08
            1.94741E+04   4.18668E+04   6.17434E+04   7.07181E+04   8.12088E+04   1.20700E+05   2.18775E+05   3.99399E+05   6.71710E+05   1.06613E+06   1.68987E+06   2.71423E+06   4.36688E+06   6.99741E+06   1.11584E+07   1.76822E+07   2.77566E+07   4.29186E+07   6.47138E+07   9.35149E+07   1.26132E+08   1.53774E+08   1.65302E+08   1.57784E+08   1.43549E+08   1.42789E+08   1.71445E+08   2.37141E+08   3.38198E+08   4.59298E+08   5.69664E+08
            1.95097E+04   4.19434E+04   6.18563E+04   7.08474E+04   8.13572E+04   1.20920E+05   2.19174E+05   4.00128E+05   6.72937E+05   1.06808E+06   1.69296E+06   2.71919E+06   4.37488E+06   7.01026E+06   1.11790E+07   1.77149E+07   2.78083E+07   4.29991E+07   6.48354E+07   9.36890E+07   1.26359E+08   1.54032E+08   1.65552E+08   1.58006E+08   1.43773E+08   1.43114E+08   1.72043E+08   2.38220E+08   3.39882E+08   4.61485E+08   5.71986E+08
            1.95453E+04   4.20200E+04   6.19692E+04   7.09767E+04   8.15056E+04   1.21141E+05   2.19574E+05   4.00858E+05   6.74164E+05   1.07003E+06   1.69605E+06   2.72416E+06   4.38288E+06   7.02311E+06   1.11995E+07   1.77477E+07   2.78601E+07   4.30795E+07   6.49570E+07   9.38630E+07   1.26586E+08   1.54290E+08   1.65802E+08   1.58227E+08   1.43997E+08   1.43439E+08   1.72644E+08   2.39303E+08   3.41568E+08   4.63669E+08   5.74295E+08
            1.95809E+04   4.20965E+04   6.20821E+04   7.11060E+04   8.16540E+04   1.21361E+05   2.19973E+05   4.01587E+05   6.75390E+05   1.07198E+06   1.69914E+06   2.72912E+06   4.39088E+06   7.03596E+06   1.12201E+07   1.77804E+07   2.79118E+07   4.31599E+07   6.50785E+07   9.40369E+07   1.26812E+08   1.54547E+08   1.66052E+08   1.58448E+08   1.44220E+08   1.43764E+08   1.73245E+08   2.40387E+08   3.43254E+08   4.65848E+08   5.76589E+08
            1.96165E+04   4.21730E+04   6.21949E+04   7.12352E+04   8.18024E+04   1.21582E+05   2.20373E+05   4.02316E+05   6.76616E+05   1.07392E+06   1.70222E+06   2.73408E+06   4.39888E+06   7.04880E+06   1.12406E+07   1.78132E+07   2.79635E+07   4.32403E+07   6.52000E+07   9.42107E+07   1.27039E+08   1.54804E+08   1.66301E+08   1.58668E+08   1.44442E+08   1.44089E+08   1.73847E+08   2.41473E+08   3.44940E+08   4.68021E+08   5.78868E+08
            1.96521E+04   4.22496E+04   6.23078E+04   7.13645E+04   8.19507E+04   1.21802E+05   2.20772E+05   4.03045E+05   6.77842E+05   1.07587E+06   1.70531E+06   2.73904E+06   4.40687E+06   7.06165E+06   1.12612E+07   1.78459E+07   2.80151E+07   4.33207E+07   6.53214E+07   9.43845E+07   1.27265E+08   1.55060E+08   1.66549E+08   1.58888E+08   1.44664E+08   1.44414E+08   1.74450E+08   2.42559E+08   3.46625E+08   4.70187E+08   5.81130E+08
            1.96877E+04   4.23261E+04   6.24206E+04   7.14937E+04   8.20990E+04   1.22023E+05   2.21171E+05   4.03773E+05   6.79068E+05   1.07781E+06   1.70840E+06   2.74400E+06   4.41486E+06   7.07448E+06   1.12817E+07   1.78786E+07   2.80668E+07   4.34011E+07   6.54428E+07   9.45581E+07   1.27491E+08   1.55316E+08   1.66796E+08   1.59106E+08   1.44885E+08   1.44739E+08   1.75053E+08   2.43645E+08   3.48306E+08   4.72343E+08   5.83372E+08
