            8.21221E+02   1.89340E+03   3.13547E+03   4.20284E+03   5.33418E+03   7.38719E+03   1.12622E+04   1.74832E+04   2.66413E+04   4.00717E+04   6.00347E+04   8.97986E+04   1.34007E+05   1.99248E+05   2.94666E+05   4.32458E+05   6.27803E+05   8.97389E+05   1.25500E+06   1.70224E+06   2.21340E+06   2.71825E+06   3.09650E+06   3.20701E+06   2.96259E+06   2.41140E+06   1.74046E+06   1.16704E+06   8.05964E+05   6.29282E+05   5.31781E+05
            8.23024E+02   1.89755E+03   3.14236E+03   4.21209E+03   5.34598E+03   7.40362E+03   1.12874E+04   1.75224E+04   2.67012E+04   4.01621E+04   6.01704E+04   9.00020E+04   1.34311E+05   1.99700E+05   2.95337E+05   4.33443E+05   6.29235E+05   8.99439E+05   1.25787E+06   1.70614E+06   2.21847E+06   2.72449E+06   3.10361E+06   3.21437E+06   2.96939E+06   2.41694E+06   1.74446E+06   1.16972E+06   8.07816E+05   6.30728E+05   5.33002E+05
            8.24827E+02   1.90171E+03   3.14925E+03   4.22135E+03   5.35778E+03   7.42006E+03   1.13126E+04   1.75616E+04   2.67612E+04   4.02525E+04   6.03061E+04   9.02055E+04   1.34616E+05   2.00153E+05   2.96008E+05   4.34429E+05   6.30668E+05   9.01489E+05   1.26074E+06   1.71003E+06   2.22354E+06   2.73072E+06   3.11071E+06   3.22173E+06   2.97619E+06   2.42247E+06   1.74845E+06   1.17240E+06   8.09668E+05   6.32174E+05   5.34223E+05
            8.26630E+02   1.90587E+03   3.15614E+03   4.23060E+03   5.36957E+03   7.43650E+03   1.13378E+04   1.76009E+04   2.68212E+04   4.03429E+04   6.04419E+04   9.04090E+04   1.34920E+05   2.00606E+05   2.96679E+05   4.35415E+05   6.32102E+05   9.03540E+05   1.26361E+06   1.71393E+06   2.22862E+06   2.73695E+06   3.11782E+06   3.22909E+06   2.98299E+06   2.42801E+06   1.75245E+06   1.17508E+06   8.11522E+05   6.33621E+05   5.35445E+05
            8.28434E+02   1.91003E+03   3.16303E+03   4.23986E+03   5.38137E+03   7.45294E+03   1.13630E+04   1.76401E+04   2.68811E+04   4.04334E+04   6.05777E+04   9.06126E+04   1.35224E+05   2.01060E+05   2.97350E+05   4.36402E+05   6.33535E+05   9.05592E+05   1.26648E+06   1.71783E+06   2.23369E+06   2.74319E+06   3.12492E+06   3.23645E+06   2.98979E+06   2.43355E+06   1.75645E+06   1.17777E+06   8.13375E+05   6.35069E+05   5.36667E+05
            8.30233E+02   1.91418E+03   3.16990E+03   4.24909E+03   5.39314E+03   7.46934E+03   1.13881E+04   1.76793E+04   2.69410E+04   4.05236E+04   6.07132E+04   9.08156E+04   1.35528E+05   2.01512E+05   2.98020E+05   4.37386E+05   6.34965E+05   9.07638E+05   1.26935E+06   1.72172E+06   2.23875E+06   2.74941E+06   3.13202E+06   3.24380E+06   2.99658E+06   2.43907E+06   1.76044E+06   1.18044E+06   8.15224E+05   6.36512E+05   5.37886E+05

ah          1.34220E-15   2.07566E-15   4.21375E-15   8.69860E-15   1.60547E-14   2.64279E-14   4.04706E-14   6.05117E-14   9.13126E-14   1.40752E-13   2.21821E-13   3.57550E-13   5.91390E-13   1.00873E-12   1.78248E-12   3.27052E-12   6.22426E-12   1.22312E-11   2.46392E-11   5.04373E-11   1.03947E-10   2.13718E-10   4.34658E-10   8.68019E-10   1.69255E-09   3.21181E-09   5.92586E-09   1.06363E-08   1.85580E-08   3.12611E-08   5.00712E-08
            1.39476E-15   2.15682E-15   4.37825E-15   9.03780E-15   1.66796E-14   2.74528E-14   4.20280E-14   6.28086E-14   9.47046E-14   1.45819E-13   2.29458E-13   3.69121E-13   6.08971E-13   1.03553E-12   1.82350E-12   3.33371E-12   6.32250E-12   1.23859E-11   2.48868E-11   5.08416E-11   1.04622E-10   2.14869E-10   4.36658E-10   8.71534E-10   1.69876E-09   3.22270E-09   5.94481E-09   1.06688E-08   1.86127E-08   3.13508E-08   5.02119E-08
            1.44971E-15   2.24168E-15   4.55028E-15   9.39251E-15   1.73331E-14   2.85245E-14   4.36566E-14   6.52102E-14   9.82509E-14   1.51116E-13   2.37442E-13   3.81213E-13   6.27340E-13   1.06351E-12   1.86630E-12   3.39959E-12   6.42481E-12   1.25467E-11   2.51436E-11   5.12598E-11   1.05318E-10   2.16052E-10   4.38705E-10   8.75120E-10   1.70506E-09   3.23376E-09   5.96400E-09   1.07017E-08   1.86680E-08   3.14412E-08   5.03537E-08
