            2.61637E-11   6.37574E-11   1.44761E-10   3.31618E-10   7.99225E-10   2.00430E-09   5.08539E-09   1.28652E-08   3.24014E-08   8.14202E-08   2.04456E-07   5.13347E-07   1.28886E-06   3.23578E-06   8.12304E-06   2.03900E-05   5.11755E-05   1.28423E-04   3.22216E-04   8.08260E-04   2.02688E-03   5.08091E-03   1.27305E-02   3.18773E-02   7.97464E-02   1.98944E-01   4.91295E-01   1.17990E+00   2.68224E+00   5.61448E+00   1.06113E+01
            2.61628E-11   6.37553E-11   1.44756E-10   3.31607E-10   7.99198E-10   2.00424E-09   5.08522E-09   1.28647E-08   3.24003E-08   8.14173E-08   2.04449E-07   5.13328E-07   1.28881E-06   3.23564E-06   8.12268E-06   2.03890E-05   5.11726E-05   1.28415E-04   3.22192E-04   8.08186E-04   2.02665E-03   5.08016E-03   1.27280E-02   3.18690E-02   7.97177E-02   1.98845E-01   4.90963E-01   1.17886E+00   2.67938E+00   5.60758E+00   1.05968E+01
            2.61620E-11   6.37531E-11   1.44751E-10   3.31595E-10   7.99171E-10   2.00417E-09   5.08504E-09   1.28643E-08   3.23992E-08   8.14143E-08   2.04441E-07   5.13308E-07   1.28876E-06   3.23551E-06   8.12231E-06   2.03879E-05   5.11698E-05   1.28407E-04   3.22167E-04   8.08111E-04   2.02642E-03   5.07942E-03   1.27255E-02   3.18606E-02   7.96890E-02   1.98746E-01   4.90630E-01   1.17783E+00   2.67651E+00   5.60064E+00   1.05823E+01
            2.61610E-11   6.37509E-11   1.44746E-10   3.31584E-10   7.99143E-10   2.00410E-09   5.08486E-09   1.28638E-08   3.23980E-08   8.14113E-08   2.04434E-07   5.13288E-07   1.28871E-06   3.23537E-06   8.12193E-06   2.03869E-05   5.11669E-05   1.28398E-04   3.22142E-04   8.08036E-04   2.02618E-03   5.07867E-03   1.27231E-02   3.18523E-02   7.96603E-02   1.98647E-01   4.90297E-01   1.17680E+00   2.67364E+00   5.59368E+00   1.05677E+01
            2.61601E-11   6.37487E-11   1.44741E-10   3.31572E-10   7.99114E-10   2.00403E-09   5.08468E-09   1.28634E-08   3.23968E-08   8.14083E-08   2.04426E-07   5.13268E-07   1.28865E-06   3.23522E-06   8.12155E-06   2.03858E-05   5.11639E-05   1.28390E-04   3.22118E-04   8.07961E-04   2.02595E-03   5.07792E-03   1.27206E-02   3.18440E-02   7.96317E-02   1.98547E-01   4.89965E-01   1.17576E+00   2.67075E+00   5.58670E+00   1.05531E+01
            2.61592E-11   6.37464E-11   1.44736E-10   3.31560E-10   7.99086E-10   2.00395E-09   5.08449E-09   1.28629E-08   3.23956E-08   8.14051E-08   2.04418E-07   5.13247E-07   1.28860E-06   3.23508E-06   8.12116E-06   2.03848E-05   5.11610E-05   1.28382E-04   3.22093E-04   8.07886E-04   2.02571E-03   5.07717E-03   1.27181E-02   3.18357E-02   7.96031E-02   1.98448E-01   4.89632E-01   1.17472E+00   2.66786E+00   5.57969E+00   1.05384E+01
            2.61582E-11   6.37440E-11   1.44730E-10   3.31548E-10   7.99056E-10   2.00388E-09   5.08430E-09   1.28624E-08   3.23943E-08   8.14020E-08   2.04410E-07   5.13226E-07   1.28854E-06   3.23493E-06   8.12077E-06   2.03837E-05   5.11580E-05   1.28373E-04   3.22068E-04   8.07810E-04   2.02548E-03   5.07642E-03   1.27157E-02   3.18274E-02   7.95746E-02   1.98350E-01   4.89299E-01   1.17368E+00   2.66497E+00   5.57267E+00   1.05237E+01
            2.61573E-11   6.37417E-11   1.44725E-10   3.31536E-10   7.99026E-10   2.00380E-09   5.08411E-09   1.28619E-08   3.23931E-08   8.13988E-08   2.04401E-07   5.13204E-07   1.28849E-06   3.23479E-06   8.12037E-06   2.03826E-05   5.11550E-05   1.28364E-04   3.22042E-04   8.07734E-04   2.02524E-03   5.07567E-03   1.27132E-02   3.18192E-02   7.95461E-02   1.98251E-01   4.88966E-01   1.17264E+00   2.66206E+00   5.56562E+00   1.05089E+01
            2.61563E-11   6.37393E-11   1.44720E-10   3.31523E-10   7.98995E-10   2.00373E-09   5.08391E-09   1.28614E-08   3.23918E-08   8.13955E-08   2.04393E-07   5.13183E-07   1.28843E-06   3.23464E-06   8.11997E-06   2.03815E-05   5.11519E-05   1.28356E-04   3.22017E-04   8.07658E-04   2.02501E-03   5.07492E-03   1.27108E-02   3.18109E-02   7.95176E-02   1.98152E-01   4.88633E-01   1.17159E+00   2.65915E+00   5.55854E+00   1.04940E+01

            1.04151E-11   2.56344E-11   5.90722E-11   1.37643E-10   3.36216E-10   8.48716E-10   2.15471E-09   5.43422E-09   1.36185E-08   3.40290E-08   8.49699E-08   2.12199E-07   5.30107E-07   1.32466E-06   3.31070E-06   8.27459E-06   2.06777E-05   5.16509E-05   1.28920E-04   3.21068E-04   7.96501E-04   1.97071E-03   4.85639E-03   1.18970E-02   2.88927E-02   6.92469E-02   1.62410E-01   3.67299E-01   7.84741E-01   1.55076E+00   2.78949E+00
            1.91204E-11   4.84535E-11   1.13673E-10   2.66274E-10   6.50389E-10   1.64747E-09   4.21989E-09   1.07683E-08   2.73182E-08   6.90694E-08   1.74396E-07   4.40121E-07   1.11039E-06   2.80051E-06   7.06025E-06   1.77905E-05   4.48013E-05   1.12735E-04   2.83395E-04   6.97983E-04   1.64853E-03   3.89099E-03   9.16917E-03   2.15398E-02   5.03201E-02   1.16423E-01   2.64685E-01   5.83076E-01   1.21987E+00   2.37247E+00   4.21776E+00
            2.79850E-11   7.09776E-11   1.66402E-10   3.90067E-10   9.57125E-10   2.44417E-09   6.32456E-09   1.63299E-08   4.19887E-08   1.07754E-07   2.76370E-07   7.08533E-07   1.81515E-06   4.64543E-06   1.18755E-05   3.03186E-05   7.73011E-05   1.96811E-04   5.00312E-04   1.23782E-03   2.88911E-03   6.71533E-03   1.55453E-02   3.58171E-02   8.20082E-02   1.85983E-01   4.14902E-01   8.98700E-01   1.85396E+00   3.56619E+00   6.28767E+00
            3.44846E-11   8.65260E-11   2.01361E-10   4.71428E-10   1.16100E-09   2.97963E-09   7.75460E-09   2.01944E-08   5.25863E-08   1.37462E-07   3.59146E-07   9.37408E-07   2.44375E-06   6.36170E-06   1.65346E-05   4.29006E-05   1.11094E-04   2.87103E-04   7.40399E-04   1.85844E-03   4.38693E-03   1.02548E-02   2.37632E-02   5.46069E-02   1.24357E-01   2.79991E-01   6.19564E-01   1.33124E+00   2.72659E+00   5.21391E+00   9.15101E+00
            3.79543E-11   9.39470E-11   2.16657E-10   5.05183E-10   1.24088E-09   3.19035E-09   8.36281E-09   2.20040E-08   5.79622E-08   1.52947E-07   4.04420E-07   1.07184E-06   2.84213E-06   7.52808E-06   1.99116E-05   5.25881E-05   1.38533E-04   3.64072E-04   9.54380E-04   2.44711E-03   5.93846E-03   1.41744E-02   3.33411E-02   7.73819E-02   1.77258E-01   4.00174E-01   8.85906E-01   1.90180E+00   3.88939E+00   7.42590E+00   1.30156E+01
            3.87960E-11   9.47693E-11   2.16639E-10   5.03744E-10   1.24103E-09   3.19364E-09   8.34346E-09   2.18447E-08   5.75480E-08   1.52600E-07   4.06418E-07   1.08844E-06   2.93274E-06   7.88756E-06   2.12071E-05   5.69208E-05   1.52596E-04   4.08001E-04   1.08820E-03   2.86593E-03   7.25440E-03   1.79240E-02   4.33391E-02   1.02762E-01   2.39217E-01   5.46428E-01   1.21971E+00   2.63310E+00   5.40489E+00   1.03442E+01   1.81588E+01
            3.77380E-11   9.11914E-11   2.07153E-10   4.80631E-10   1.18117E-09   3.02103E-09   7.84006E-09   2.03505E-08   5.28371E-08   1.40234E-07   3.74335E-07   1.00622E-06   2.71475E-06   7.38396E-06   2.00807E-05   5.46269E-05   1.48613E-04   4.03677E-04   1.09441E-03   2.97475E-03   7.97589E-03   2.07013E-02   5.21603E-02   1.27930E-01   3.06020E-01   7.14213E-01   1.62098E+00   3.54356E+00   7.34094E+00   1.41419E+01   2.49406E+01
            3.54406E-11   8.48783E-11   1.91767E-10   4.43820E-10   1.08834E-09   2.76612E-09   7.09016E-09   1.82525E-08   4.70710E-08   1.22411E-07   3.21444E-07   8.55323E-07   2.29310E-06   6.21509E-06   1.68888E-05   4.62209E-05   1.26633E-04   3.47381E-04   9.53196E-04   2.67963E-03   7.74203E-03   2.14878E-02   5.73849E-02   1.47863E-01   3.68556E-01   8.89677E-01   2.07471E+00   4.63252E+00   9.75132E+00   1.90056E+01   3.37989E+01
            3.23710E-11   7.69703E-11   1.73167E-10   3.99903E-10   9.78332E-10   2.49087E-09   6.35343E-09   1.60970E-08   4.09380E-08   1.04541E-07   2.68467E-07   6.97904E-07   1.82778E-06   4.82504E-06   1.29012E-05   3.47278E-05   9.40675E-05   2.56463E-04   7.01991E-04   2.02341E-03   6.37127E-03   1.92956E-02   5.58591E-02   1.54538E-01   4.09413E-01   1.04026E+00   2.53013E+00   5.84154E+00   1.26145E+01   2.50531E+01   4.51612E+01
